clip_sim,gate,is_fake
0.2636506,0.5081003,1
0.22817901,0.49510106,1
0.2665037,0.49189863,0
0.19460598,0.510009,1
0.19200742,0.5116733,1
0.2936052,0.49985906,1
0.26672393,0.4941546,0
0.2645485,0.4862825,1
0.21683338,0.50127184,1
0.19940323,0.49583176,1
0.26164186,0.47996107,0
0.3386932,0.4958879,0
0.30447432,0.49136057,0
0.28905022,0.5094211,0
0.2818277,0.47846088,0
0.32279637,0.4894216,0
0.25214577,0.50256985,1
0.18884477,0.49335957,0
0.2547212,0.5028917,0
0.24006785,0.47068647,0
0.29072502,0.5053826,1
0.22129968,0.4924798,1
0.16323316,0.4836518,1
0.21380433,0.4945904,1
0.3089454,0.5168454,1
0.3328826,0.515379,0
0.28444785,0.517694,1
0.3058205,0.51092833,1
0.25737298,0.50348544,1
0.27471438,0.50262517,1
0.3087861,0.48987472,0
0.28572634,0.49143133,0
0.23881008,0.49909082,1
0.29668385,0.5286849,1
0.3100204,0.49911442,0
0.1389112,0.49525943,1
0.28299913,0.5004926,1
0.31043532,0.49944273,1
0.25784028,0.509574,1
0.2135406,0.5015691,1
0.26195776,0.48074588,0
0.23903677,0.5109897,1
0.28825393,0.48916736,0
0.2734342,0.4890614,0
0.2923763,0.50520164,0
0.32102466,0.5073777,0
0.32049727,0.4982735,0
0.30378383,0.4979805,1
0.3750664,0.5046698,1
0.23368156,0.49752283,0
0.32069623,0.50631076,0
0.19221981,0.4969771,1
0.31503302,0.4900557,0
0.31734848,0.496493,0
0.2968951,0.49812746,1
0.33722875,0.535761,1
0.3025024,0.5089249,0
0.30144227,0.49385795,1
0.26025704,0.5135401,1
0.28450596,0.50626826,0
0.30407816,0.5082239,1
0.34270415,0.48786172,0
0.30058864,0.49609813,0
0.2679361,0.5112834,1
0.27801698,0.49463543,1
0.24870998,0.49365377,0
0.20881522,0.49446473,1
0.33934587,0.4826657,0
0.28802562,0.50345975,1
0.24158777,0.5035656,1
0.23278649,0.49982715,1
0.37471104,0.5031766,0
0.31211543,0.48681036,0
0.31273288,0.50946444,0
0.2718141,0.49646112,1
0.32822508,0.5143044,0
0.33128515,0.5067632,0
0.3078387,0.4906918,0
0.26732484,0.4832778,0
0.21181262,0.4873302,1
0.23188272,0.4904621,1
0.28180677,0.512121,0
0.30997908,0.5027997,1
0.27095658,0.4819177,0
0.18481104,0.4952434,1
0.3388751,0.4986888,0
0.2085649,0.5078068,1
0.24168159,0.48802623,1
0.3045424,0.45984164,0
0.26477963,0.5231964,1
0.23484775,0.5023733,1
0.2657179,0.48448256,0
0.36975121,0.5006495,1
0.33510238,0.5073779,0
0.2581367,0.49408057,1
0.31649053,0.49388647,1
