protocol,model,seed,condition,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,brier,ece,auroc,auprc,tn,fp,fn,tp
random,text,42,zero_image,0.7805549185966522,0.7803715784995036,0.7673220973782772,0.7808480228680323,0.7740259740259741,0.1527748703956604,0.06938046600854988,0.8684115083221389,0.8588380776474422,1765,497,460,1639
random,text,42,zero_text,0.48131162577390507,0.32492260061919503,0.48131162577390507,1.0,0.6498452012383901,0.25769850611686707,0.08970951384782955,0.5,0.48131162577390507,0,2262,0,2099
random,text,42,zero_meta,0.7805549185966522,0.7803715784995036,0.7673220973782772,0.7808480228680323,0.7740259740259741,0.1527748703956604,0.06938046600854988,0.8684115083221389,0.8588380776474422,1765,497,460,1639
random,text,42,zero_cons,0.7805549185966522,0.7803715784995036,0.7673220973782772,0.7808480228680323,0.7740259740259741,0.1527748703956604,0.06938046600854988,0.8684115083221389,0.8588380776474422,1765,497,460,1639
random,image,13,clean,0.8083008484292593,0.8074075842763107,0.8213740458015267,0.7689375893282515,0.7942913385826772,0.13572798669338226,0.016569367374364607,0.8858342295118428,0.8894993522000693,1911,351,485,1614
random,image,13,zero_image,0.48131162577390507,0.32492260061919503,0.48131162577390507,1.0,0.6498452012383901,0.25144535303115845,0.04236298150301143,0.5,0.48131162577390507,0,2262,0,2099
random,image,13,zero_text,0.8083008484292593,0.8074075842763107,0.8213740458015267,0.7689375893282515,0.7942913385826772,0.13572798669338226,0.016569367374364607,0.8858342295118428,0.8894993522000693,1911,351,485,1614
random,image,13,zero_meta,0.8083008484292593,0.8074075842763107,0.8213740458015267,0.7689375893282515,0.7942913385826772,0.13572798669338226,0.016569367374364607,0.8858342295118428,0.8894993522000693,1911,351,485,1614
random,image,13,zero_cons,0.8083008484292593,0.8074075842763107,0.8213740458015267,0.7689375893282515,0.7942913385826772,0.13572798669338226,0.016569367374364607,0.8858342295118428,0.8894993522000693,1911,351,485,1614
random,image,42,clean,0.8050905755560651,0.8047689702507906,0.7995203836930456,0.7941877084325869,0.7968451242829828,0.13547150790691376,0.025591313749264745,0.8867891703724858,0.8907702878963926,1844,418,432,1667
random,image,42,zero_image,0.48131162577390507,0.32492260061919503,0.48131162577390507,1.0,0.6498452012383901,0.2534717917442322,0.061814659302236286,0.5,0.48131162577390507,0,2262,0,2099
random,image,42,zero_text,0.8050905755560651,0.8047689702507906,0.7995203836930456,0.7941877084325869,0.7968451242829828,0.13547150790691376,0.025591313749264745,0.8867891703724858,0.8907702878963926,1844,418,432,1667
random,image,42,zero_meta,0.8050905755560651,0.8047689702507906,0.7995203836930456,0.7941877084325869,0.7968451242829828,0.13547150790691376,0.025591313749264745,0.8867891703724858,0.8907702878963926,1844,418,432,1667
random,image,42,zero_cons,0.8050905755560651,0.8047689702507906,0.7995203836930456,0.7941877084325869,0.7968451242829828,0.13547150790691376,0.025591313749264745,0.8867891703724858,0.8907702878963926,1844,418,432,1667
random,cgf_llm,13,clean,0.9009401513414355,0.9006662490746541,0.9099852434825382,0.8813720819437828,0.8954501452081317,0.08319814503192902,0.06719100518044055,0.9609933828116543,0.9599732292089075,2079,183,249,1850
random,cgf_llm,13,zero_image,0.8213712451272643,0.8209639633757095,0.8213242453748782,0.8037160552644116,0.8124247531904647,0.14718471467494965,0.12572705282865368,0.9056429338378049,0.8975394193442706,1895,367,412,1687
random,cgf_llm,13,zero_text,0.8631047924787892,0.8627426667183322,0.8684985279685966,0.8432586946164841,0.8556925308194344,0.11058289557695389,0.0864768880400213,0.9336505657824514,0.9353194397620468,1994,268,329,1770
random,cgf_llm,13,zero_meta,0.8761751891767943,0.8757701916827738,0.8872329855936413,0.8508813720819438,0.8686770428015564,0.10544770956039429,0.08885744763732581,0.9452990961550045,0.9426778393338135,2035,227,313,1786
random,cgf_llm,13,zero_cons,0.8631047924787892,0.8627295824175222,0.8692232055063913,0.8423058599333015,0.855552867166707,0.11086377501487732,0.08932901672528606,0.940263857699911,0.9404155111683932,1996,266,331,1768
random,cgf_llm,42,clean,0.8965833524421004,0.8965567006589714,0.8759124087591241,0.9147212958551691,0.8948962945700303,0.07860106229782104,0.037389155062343894,0.9603248820856548,0.9584969029955732,1990,272,179,1920
random,cgf_llm,42,zero_image,0.8131162577390507,0.8131048976017192,0.7796167247386759,0.8527870414483087,0.8145620022753128,0.13901616632938385,0.08806388096649406,0.8993833744248556,0.8905244080215221,1756,506,309,1790
random,cgf_llm,42,zero_text,0.8642513185049301,0.8634260503401505,0.891835673426937,0.8170557408289661,0.8528095474888115,0.10292259603738785,0.06104393962004456,0.9368326839988222,0.9372953396402776,2054,208,384,1715
random,cgf_llm,42,zero_meta,0.8729649163036001,0.8729625049164054,0.8444048149799376,0.902334444973797,0.8724090280976509,0.09622089564800262,0.06001412253818315,0.9465983970304583,0.9438562319753544,1913,349,205,1894
